# Semrush report: resource_organic
# params: {"target":"safenesttoys.com","database":"us","display_limit":500,"display_sort":"position_asc"}
# fetched: 2026-08-25T21:28:00.442Z
# via: mcp.semrush.com/v2/mcp (Authorization: Apikey)
Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
best building sets for 3 year olds;59;59;0;90;0.38;https://safenesttoys.com/guides/best-building-toys-preschoolers;0.00;0.00;1.00;191;0.33,0.33,0.52,0.33,0.52,1.00,1.00,0.33,0.23,0.33,0.19,0.23
sensory toy for infant;62;62;0;50;0.62;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.99;185;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
sensory toys for babies;62;62;0;3600;0.62;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.99;198;0.81,0.66,0.12,0.16,0.29,0.81,1.00,0.35,0.29,0.35,0.23,0.23
baby sensory toy;65;65;0;70;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;223;0.50,0.64,0.50,0.50,0.50,0.78,0.78,0.78,0.00,0.14,0.21,0.00
baby sensory toys year;69;69;0;40;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;195;0.28,0.50,0.64,0.78,1.00,0.28,0.07,0.00,0.00,0.00,0.07,0.00
best building toys for 3 year olds;75;75;0;70;0.58;https://safenesttoys.com/guides/best-building-toys-preschoolers;0.00;0.00;1.00;183;0.15,0.26,0.19,0.26,0.26,0.65,0.65,0.15,0.19,0.15,0.11,0.19
non toxic wood toys;78;78;0;50;0.66;https://safenesttoys.com/guides/best-wooden-nontoxic-toys;0.00;0.00;0.99;190;0.00,0.09,0.14,0.04,0.42,1.00,0.80,0.19,0.33,0.09,0.04,0.14
best construction toys;79;79;0;90;0.56;https://safenesttoys.com/guides/best-building-toys-preschoolers;0.00;0.00;0.38;183;0.28,0.43,0.17,0.10,0.17,0.35,0.28,0.10,0.12,0.23,0.17,0.12
best sensory toys for infants;80;80;0;110;0.61;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;1.00;169;0.34,0.34,0.65,0.53,0.53,0.80,0.80,0.34,0.26,0.34,0.26,0.26
best building construction toys;80;80;0;70;0.56;https://safenesttoys.com/guides/best-building-toys-preschoolers;0.00;0.00;0.38;176;0.52,0.42,0.33,0.19,0.33,0.52,0.42,0.19,0.23,0.33,0.33,0.23
best sensory toys for babies;80;80;0;50;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;150;0.15,0.12,0.10,0.07,0.03,0.10,0.00,0.04,0.02,0.03,0.03,0.03
best building toy;82;82;0;50;0.44;https://safenesttoys.com/guides/best-building-toys-preschoolers;0.00;0.00;0.76;176;0.19,0.23,0.33,0.14,0.33,0.42,0.52,0.00,0.19,0.23,0.19,0.09
sensory toys for 12 month old;89;89;0;50;0.35;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.99;196;0.52,0.09,0.09,0.09,0.52,0.52,0.66,0.09,0.09,0.09,0.09,0.09
best sensory toys for newborns;91;91;0;90;0.68;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;1.00;162;0.15,0.18,0.15,0.15,0.18,0.18,0.18,0.11,0.15,0.15,0.18,0.11
what are baby sensory toys;93;93;0;170;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;185;1.00,0.10,0.04,0.08,0.14,0.22,1.00,0.02,0.43
best toys for building independence;98;98;0;4400;0.00;https://safenesttoys.com/guides/best-building-toys-preschoolers;0.00;0.00;0.00;29600000;0.10,0.43,0.43,1.00,1.00,0.81
